GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Parcial,com.ucp,Var,28,38,0,0,4,13,2,5,2,5
Parcial,com.ucp,PantallaLed,2,6,0,0,1,2,1,2,1,2
Parcial,com.ucp,ArbitroBase,3,0,0,0,1,0,1,0,1,0
Parcial,com.ucp,Equipo,50,105,4,2,15,22,9,9,7,8
Parcial,com.ucp,Jugador,1,33,0,0,1,11,1,6,1,6
Parcial,com.ucp,TarjetaBase,0,23,0,0,0,10,0,5,0,5
Parcial,com.ucp,Arbitro,9,0,0,0,4,0,2,0,2,0
Parcial,com.ucp,Estadio,0,37,0,0,0,10,0,6,0,6
Parcial,com.ucp,TarjetaRoja,16,10,0,0,3,4,1,2,1,2
Parcial,com.ucp,Torneo,24,52,1,3,5,14,3,5,2,4
Parcial,com.ucp,IntegranteDelVar,3,0,0,0,1,0,1,0,1,0
Parcial,com.ucp,Partido,37,73,3,1,11,21,4,9,2,9
Parcial,com.ucp,TarjetaAmarilla,21,5,0,0,5,2,2,1,2,1
Parcial,com.ucp,AsistenteDeVideo,3,0,0,0,1,0,1,0,1,0
Parcial,com.ucp,AVAR,3,0,0,0,1,0,1,0,1,0
